ENTIDAD,CONCEPTO,2019,2020,2021,2022,2023,2024,2025
MEXICO,OTRAS LEYES Y CODIGOS,90.88,-34.73,4.23,-9.66,20.17,-16.43,-6.84
MEXICO,OTROS DELITOS,-45.45,-19.46,27.79,-28.8,16.49,-3.77,-5.43
MICHOACAN,CONTRA LA SALUD,49.66,-45.74,23.97,-20.0,-12.5,-7.62,23.71
MICHOACAN,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),50.0,0.0,33.33,75.0,14.29,-62.5,200.0
MICHOACAN,LEY GENERAL DE SALUD (L.G.S.),18.84,-85.37,-33.33,87.5,-60.0,66.67,10.0
MICHOACAN,OTRAS LEYES Y CODIGOS,14.48,-17.37,32.13,10.52,-28.0,6.0,7.65
MICHOACAN,OTROS DELITOS,-10.26,-33.9,-17.87,-12.28,9.4,42.78,5.51
MORELOS,CONTRA LA SALUD,-50.0,20.0,66.67,10.0,63.64,-63.89,53.85
MORELOS,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),-60.0,50.0,66.67,100.0,-100.0,0.0,33.33
MORELOS,LEY GENERAL DE SALUD (L.G.S.),-60.0,100.0,-100.0,0.0,75.0,-28.57,60.0
MORELOS,OTRAS LEYES Y CODIGOS,77.95,-26.7,-28.81,33.11,-4.27,-13.12,16.01
MORELOS,OTROS DELITOS,-63.69,-37.22,-5.67,34.97,6.07,19.47,-13.1
NAYARIT,CONTRA LA SALUD,40.43,-59.09,-62.96,30.0,215.38,-48.78,42.86
NAYARIT,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),0.0,-100.0,0.0,-100.0,0.0,0.0,0.0
NAYARIT,LEY GENERAL DE SALUD (L.G.S.),100.0,-100.0,0.0,0.0,-33.33,300.0,37.5
NAYARIT,OTRAS LEYES Y CODIGOS,39.01,-50.0,187.76,-34.75,-13.59,-9.43,99.31
NAYARIT,OTROS DELITOS,-45.28,-13.79,10.4,0.0,17.39,30.25,9.0
NUEVO LEON,CONTRA LA SALUD,38.41,-5.24,-16.02,26.97,205.18,-75.38,60.69
NUEVO LEON,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),100.0,-25.0,-66.67,300.0,25.0,-20.0,25.0
NUEVO LEON,LEY GENERAL DE SALUD (L.G.S.),-25.0,-16.67,-60.0,250.0,7085.71,-95.43,100.0
NUEVO LEON,OTRAS LEYES Y CODIGOS,43.61,-20.63,23.75,5.65,25.63,8.03,19.48
NUEVO LEON,OTROS DELITOS,-76.86,12.23,-41.24,39.64,22.66,5.73,25.5
OAXACA,CONTRA LA SALUD,-41.3,92.59,21.15,-41.27,62.16,-18.33,22.45
OAXACA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),0.0,-66.67,-100.0,0.0,-50.0,-100.0,0.0
OAXACA,LEY GENERAL DE SALUD (L.G.S.),-33.33,0.0,-50.0,0.0,100.0,-12.5,-28.57
OAXACA,OTRAS LEYES Y CODIGOS,13.53,-24.49,0.25,-6.89,14.8,16.0,-26.29
OAXACA,OTROS DELITOS,-35.67,-26.3,-5.45,17.79,-12.65,0.7,-10.44
PUEBLA,CONTRA LA SALUD,-23.44,18.37,34.48,-37.18,55.1,-17.11,0.0
PUEBLA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),100.0,-50.0,-33.33,-50.0,100.0,100.0,100.0
PUEBLA,LEY GENERAL DE SALUD (L.G.S.),0.0,-65.22,37.5,18.18,-23.08,-10.0,11.11
PUEBLA,OTRAS LEYES Y CODIGOS,150.81,-17.86,-0.43,-13.6,9.2,-0.91,17.53
PUEBLA,OTROS DELITOS,-68.28,3.16,-6.86,54.39,-17.26,-0.61,-11.98
QUERETARO,CONTRA LA SALUD,126.67,34.8,-14.55,-4.68,-11.16,-11.06,64.97
QUERETARO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),0.0,300.0,-100.0,0.0,0.0,100.0,25.0
QUERETARO,LEY GENERAL DE SALUD (L.G.S.),-16.67,-30.0,42.86,-70.0,-33.33,50.0,-66.67
QUERETARO,OTRAS LEYES Y CODIGOS,47.72,-21.64,-26.53,-17.96,19.86,9.23,35.34
QUERETARO,OTROS DELITOS,6.4,-18.42,-16.44,27.94,12.93,-15.27,14.56
QUINTANA ROO,CONTRA LA SALUD,25.64,-43.88,18.18,36.92,-6.74,21.69,-58.42
QUINTANA ROO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),0.0,-60.0,0.0,50.0,-100.0,0.0,100.0
QUINTANA ROO,LEY GENERAL DE SALUD (L.G.S.),62.5,-61.54,20.0,100.0,-41.67,-14.29,-100.0
QUINTANA ROO,OTRAS LEYES Y CODIGOS,23.49,-29.11,19.51,-9.52,-14.66,7.05,-46.91
QUINTANA ROO,OTROS DELITOS,-25.54,-29.44,25.86,-30.14,-19.22,0.49,-5.31
SAN LUIS POTOSI,CONTRA LA SALUD,40.65,51.38,-17.27,-73.63,11.11,67.5,8.21
SAN LUIS POTOSI,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),0.0,0.0,0.0,-50.0,100.0,-50.0,100.0
SAN LUIS POTOSI,LEY GENERAL DE SALUD (L.G.S.),100.0,-33.33,-100.0,0.0,-50.0,266.67,0.0
SAN LUIS POTOSI,OTRAS LEYES Y CODIGOS,5.6,-29.33,0.79,33.33,-2.06,4.8,-1.72
SAN LUIS POTOSI,OTROS DELITOS,-59.79,46.12,23.89,79.52,-11.41,-40.57,15.87
SINALOA,CONTRA LA SALUD,1.4,-12.46,15.42,-20.89,43.29,-15.11,18.15
SINALOA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),600.0,28.57,-77.78,300.0,50.0,8.33,146.15
SINALOA,LEY GENERAL DE SALUD (L.G.S.),144.44,-63.64,12.5,-44.44,220.0,-56.25,257.14
SINALOA,OTRAS LEYES Y CODIGOS,33.33,-30.86,7.06,-16.36,13.56,-13.33,337.18
SINALOA,OTROS DELITOS,-52.96,-35.66,3.62,-12.59,-2.4,9.84,28.73
SONORA,CONTRA LA SALUD,30.48,-20.8,28.78,-21.23,-19.86,-1.33,23.77
SONORA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),300.0,50.0,-58.33,80.0,-33.33,83.33,54.55
SONORA,LEY GENERAL DE SALUD (L.G.S.),166.1,-69.11,27.84,-73.39,3.03,-52.94,243.75
SONORA,OTRAS LEYES Y CODIGOS,47.77,-9.62,21.66,-2.24,-16.86,19.4,44.76
SONORA,OTROS DELITOS,104.31,-56.68,12.34,4.62,-13.26,18.95,3.61
TABASCO,CONTRA LA SALUD,133.33,-42.86,75.0,-71.43,75.0,42.86,110.0
TABASCO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),0.0,-66.67,0.0,0.0,100.0,-50.0,200.0
TABASCO,LEY GENERAL DE SALUD (L.G.S.),-30.77,-61.11,-14.29,-16.67,-40.0,1166.67,7.89
TABASCO,OTRAS LEYES Y CODIGOS,260.85,-55.19,27.89,-15.02,13.56,28.14,37.27
TABASCO,OTROS DELITOS,7.95,-41.47,3.96,-40.81,22.73,-6.48,-14.52
TAMAULIPAS,CONTRA LA SALUD,-55.77,0.0,-18.84,-10.71,10.0,-45.45,133.33
TAMAULIPAS,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),85.71,-61.54,120.0,9.09,-33.33,75.0,-14.29
TAMAULIPAS,LEY GENERAL DE SALUD (L.G.S.),50.0,66.67,0.0,100.0,-30.0,85.71,-30.77
TAMAULIPAS,OTRAS LEYES Y CODIGOS,41.46,-29.22,21.15,-7.94,19.66,13.64,-11.24
TAMAULIPAS,OTROS DELITOS,-35.61,-17.99,-8.02,-13.17,27.25,37.04,-28.91
TLAXCALA,CONTRA LA SALUD,125.0,77.78,-56.25,0.0,200.0,-80.95,625.0
TLAXCALA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),0.0,-100.0,0.0,0.0,0.0,-100.0,0.0
TLAXCALA,LEY GENERAL DE SALUD (L.G.S.),50.0,33.33,25.0,-20.0,25.0,-60.0,50.0
TLAXCALA,OTRAS LEYES Y CODIGOS,52.97,-24.6,48.93,-17.29,24.74,-10.34,5.92
TLAXCALA,OTROS DELITOS,-30.13,-31.17,1.47,43.19,-6.88,7.61,-2.83
VERACRUZ,CONTRA LA SALUD,0.0,-12.12,17.24,52.94,1.92,-49.06,-37.04
VERACRUZ,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),-33.33,50.0,-50.0,0.0,0.0,33.33,100.0
VERACRUZ,LEY GENERAL DE SALUD (L.G.S.),2500.0,-46.15,-14.29,-8.33,-45.45,16.67,-14.29
VERACRUZ,OTRAS LEYES Y CODIGOS,149.4,-33.0,-0.53,16.11,4.55,-23.01,-9.29
VERACRUZ,OTROS DELITOS,-44.31,-39.59,26.78,-20.47,-12.05,-8.76,-2.15
YUCATAN,CONTRA LA SALUD,24.39,-45.1,14.29,81.25,-12.07,-29.41,-38.89
YUCATAN,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),0.0,0.0,0.0,-100.0,0.0,0.0,0.0
YUCATAN,LEY GENERAL DE SALUD (L.G.S.),-50.0,600.0,-42.86,50.0,0.0,183.33,52.94
YUCATAN,OTRAS LEYES Y CODIGOS,-1.81,-41.1,152.08,-20.66,2.08,-12.24,5.23
YUCATAN,OTROS DELITOS,-35.26,-23.47,6.13,-6.36,6.17,22.67,-1.42
ZACATECAS,CONTRA LA SALUD,-4.88,-46.15,14.29,-25.0,55.56,-21.43,-18.18
ZACATECAS,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),50.0,-33.33,100.0,-100.0,0.0,200.0,-100.0
ZACATECAS,LEY GENERAL DE SALUD (L.G.S.),50.0,-33.33,50.0,66.67,40.0,0.0,0.0
ZACATECAS,OTRAS LEYES Y CODIGOS,15.58,-4.7,20.07,-5.21,27.46,-10.43,6.58
ZACATECAS,OTROS DELITOS,-33.88,-11.25,-8.45,19.23,-6.45,-11.03,14.73
